class_id,ten_yr,ten_yr_count_usa,ten_yr_count_germany,ten_yr_count_france
2795,1920,0,1,0
2795,1890,0,0,0
2860,1910,0,0,0
2860,1920,0,0,0
2860,1900,0,0,0
2860,1930,0,1,0
2860,1890,0,0,0
2860,1870,0,0,0
2860,1880,0,0,0
2925,1880,0,0,0
2925,1930,0,1,0
2925,1910,0,0,0
2925,1900,0,0,0
2925,1870,0,0,0
2925,1920,0,0,0
2925,1890,0,0,0
2990,1910,0,2,0
2990,1930,0,0,0
2990,1880,0,0,0
2990,1870,0,0,0
2990,1920,0,1,1
2990,1900,0,3,0
2990,1890,1,0,0
3055,1880,0,0,0
3055,1920,0,0,0
3055,1900,0,0,0
3055,1890,0,0,0
3055,1930,0,0,0
3055,1910,0,0,0
3055,1870,0,0,0
3120,1870,0,0,0
3120,1930,0,0,0
3120,1890,0,0,0
3120,1900,0,0,0
3120,1880,0,0,0
3120,1920,0,0,0
3120,1910,0,0,0
3185,1900,0,0,0
3185,1920,0,0,0
3185,1870,0,0,0
3185,1930,0,0,0
3185,1910,0,0,0
3185,1890,0,0,0
3185,1880,0,0,0
3250,1910,0,0,0
3250,1930,0,1,0
3250,1890,0,0,0
3250,1900,0,3,0
3250,1920,0,2,1
3250,1880,0,0,0
3250,1870,0,0,0
3445,1870,0,0,0
3445,1920,0,0,0
3445,1890,0,0,0
3445,1930,1,0,0
3445,1910,0,0,0
3445,1880,0,0,0
3445,1900,0,0,0
3640,1920,0,0,0
3640,1930,1,0,0
3640,1910,0,0,0
3640,1880,0,0,0
3640,1870,0,0,0
3640,1890,0,0,0
3640,1900,0,0,1
3770,1910,0,0,0
3770,1890,0,0,0
3770,1870,0,0,0
3770,1880,0,0,0
3770,1920,0,0,0
3770,1930,2,0,0
3770,1900,0,0,0
3900,1880,0,0,0
3900,1890,0,0,0
3900,1870,0,0,0
3900,1910,0,0,0
3900,1900,0,0,0
3900,1920,2,0,0
3900,1930,1,0,0
3965,1880,0,0,0
3965,1870,0,0,0
3965,1890,0,0,0
3965,1930,1,0,0
3965,1920,2,0,0
3965,1900,0,0,0
3965,1910,0,0,0
4290,1910,0,0,0
4290,1890,0,0,0
4290,1870,0,0,0
4290,1930,0,0,0
4290,1920,1,0,0
4290,1900,0,0,0
4290,1880,0,0,0
4420,1880,0,0,0
4420,1930,1,0,0
4420,1900,0,0,0
4420,1890,0,0,0
4420,1870,0,0,0
4420,1920,3,0,0
4420,1910,0,0,0
4550,1870,0,0,0
4550,1930,0,0,0
4550,1890,0,0,0
4550,1920,0,0,0
4550,1910,0,0,0
4550,1880,0,0,0
4550,1900,0,0,0
4680,1930,0,0,0
4680,1880,0,0,0
4680,1870,0,0,0
4680,1910,0,0,0
4680,1890,0,0,0
4680,1900,0,0,0
4680,1920,1,0,0
5265,1900,0,2,0
5265,1890,0,0,0
5265,1910,0,1,0
5265,1930,6,2,0
5265,1920,2,1,0
5265,1880,1,0,0
5265,1870,0,0,0
5395,1930,0,0,0
5395,1900,0,1,0
5395,1910,0,1,0
5395,1870,0,0,0
5395,1890,0,0,0
5395,1880,0,0,0
5395,1920,0,0,0
5460,1890,0,0,0
5460,1870,0,0,0
5460,1900,0,2,0
5460,1880,0,0,0
5460,1920,2,0,0
5460,1930,4,0,0
5460,1910,0,1,0
5525,1900,0,0,0
5525,1890,0,0,0
5525,1920,0,0,0
5525,1880,1,0,0
5525,1930,0,1,0
5525,1910,0,0,0
5525,1870,1,0,0
5655,1910,0,0,0
5655,1880,0,0,0
5655,1890,0,0,0
5655,1920,0,0,0
5655,1900,0,0,0
5655,1930,0,0,0
5655,1870,0,0,0
5720,1910,0,0,0
5720,1880,0,0,0
5720,1900,0,0,0
5720,1920,0,0,0
5720,1890,1,0,0
5720,1870,0,0,0
5720,1930,0,0,0
5785,1890,0,0,0
5785,1910,0,0,0
5785,1920,0,0,0
5785,1870,0,0,0
5785,1930,0,1,0
5785,1900,0,0,0
5785,1880,0,0,0
5850,1920,0,0,0
5850,1910,0,0,0
5850,1880,0,0,0
5850,1900,0,0,0
5850,1890,0,0,0
5850,1870,0,0,0
5850,1930,1,0,0
6045,1870,0,0,0
6045,1900,0,0,0
6045,1890,0,0,0
6045,1930,1,0,0
6045,1920,0,0,0
6045,1910,0,0,0
6045,1880,0,0,0
6110,1910,0,0,0
6110,1900,0,0,0
6110,1870,0,0,0
6110,1890,0,0,0
6110,1880,0,0,0
6110,1930,1,0,0
6110,1920,0,0,0
6175,1920,1,0,0
6175,1910,0,0,0
6175,1930,1,1,0
6175,1890,0,0,0
6175,1880,0,0,0
6175,1900,0,1,0
6175,1870,0,0,0
6305,1920,0,0,0
6305,1910,0,0,0
6305,1900,0,0,0
6305,1870,0,0,0
6305,1880,0,0,0
6305,1890,0,0,0
6305,1930,1,0,0
6370,1930,3,1,0
6370,1890,0,0,0
